,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,year,Title,Price,links,Make,Model
0, 1N4CL21E59C164131, good, 4 cylinders, rwd, hybrid,209241, silver, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima Hybrid Base,4450 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima-hybrid-base/6704244179.html,Nissan,Altima
1,, like new, 4 cylinders,, gas,61423, black,, clean, automatic,,2008,2008 Nissan Altima,5900 ,https://losangeles.craigslist.org/sgv/cto/d/2008-nissan-altima/6705407336.html,Nissan,Altima
2,, excellent, 4 cylinders,, gas,100,, compact, clean, automatic,,2009,2009 NISSAN ALTIMA LOW MILES,3999 ,https://losangeles.craigslist.org/lac/cto/d/2009-nissan-altima-low-miles/6710156506.html,Nissan,Altima
3,, excellent, 4 cylinders, fwd, gas,67000, white, mid-size, clean, automatic, sedan,2012,"2012 Nissan Altima * 4 Cly * Auto * * Sale, Sale, Sale * *",7495 ,https://losangeles.craigslist.org/wst/cto/d/2012-nissan-altima-4-cly-auto/6710141619.html,Nissan,Altima
4, 1N4AL3AP7EN375148, excellent,,, gas,113855,,, clean, automatic,,2014,2014 Nissan. Altima s 2.5L,8500 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-25l/6710113378.html,Nissan,Altima
5, 1N4AL3AP7EN375148, excellent,,, gas,113855,,, clean, automatic,,2014,2014 Nissan. Altima. S 2.5,8700 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-25/6710112945.html,Nissan,Altima
6,, excellent,,, gas,140000,,, clean, automatic, sedan,2009,2009 Nissan Altima 2.5,5800 ,https://losangeles.craigslist.org/lac/cto/d/2009-nissan-altima-25/6707696014.html,Nissan,Altima
7,, new, 4 cylinders, fwd, gas,20000, black, mid-size, clean, automatic, sedan,2016,"2016 NISSAN ALTIMA SR BLACK, CLEAN TITLE",16400 ,https://losangeles.craigslist.org/sfv/cto/d/2016-nissan-altima-sr-black/6690832329.html,Nissan,Altima
8,, excellent, 4 cylinders, fwd, gas,125000, silver, compact, salvage, automatic, sedan,2008,2008 Nissan Altima 2.5S,4250 ,https://losangeles.craigslist.org/sfv/cto/d/2008-nissan-altima-25s/6703253783.html,Nissan,Altima
9,, excellent,,, gas,124000,,, clean, automatic,,2009,"2009 Nissan Altima 124,000 miles",6500 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altimamiles/6710024368.html,Nissan,Altima
10, 1N4AL3AP9GC209941, like new, 4 cylinders,, gas,44620, grey, full-size, clean, automatic, sedan,2016,2016 NISSAN ALTIMA 4C SEDAN,15499 ,https://losangeles.craigslist.org/wst/cto/d/2016-nissan-altima-4c-sedan/6709987740.html,Nissan,Altima
11,, like new,,, gas,99000,,, clean, automatic,,2015,"2015 NISSAN ALTIMA S SEDAN WHITE 99,000MILES",9995 ,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-sedan/6703325656.html,Nissan,Altima
12, 1N4AL3AP7EN354607, like new, 4 cylinders, fwd, gas,86454, silver, full-size, clean, automatic, sedan,2014,2014 Nissan ALTIMA Low Mileage Clean,12950 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-low/6704712638.html,Nissan,Altima
13,, like new, 4 cylinders, fwd, gas,86121, silver, full-size, clean, automatic, sedan,2014,2014 Nissan ALTIMA Low Mileage Clean,12900 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-low/6708155176.html,Nissan,Altima
14,, excellent, 4 cylinders, fwd, gas,86121, silver, full-size, clean, automatic, sedan,2014,2014 Nissan ALTIMA Low Mileage Clean,12950 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-low/6704075404.html,Nissan,Altima
15,, excellent, 6 cylinders, fwd, gas,97121, black, full-size, clean, automatic, sedan,2012,2012 Nissan ALTIMA Custom wheels Excellent,8900 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-custom/6696143066.html,Nissan,Altima
16,, good, 4 cylinders,, gas,72000,,, clean, automatic,,2014,2014 Nissan Altima S with backup carmera,9500 ,https://losangeles.craigslist.org/wst/cto/d/2014-nissan-altima-with/6707397793.html,Nissan,Altima
17, 1N4AL2AP0CC197828, good, 4 cylinders, fwd, gas,99742, yellow, mid-size, clean, automatic, sedan,2012,2012 Nissan Altima very clean I would consider taking payments,8450 ,https://losangeles.craigslist.org/wst/cto/d/2012-nissan-altima-very-clean/6699552005.html,Nissan,Altima
18, 1N4AL3AP8FC483212, excellent, 4 cylinders, fwd, gas,56666,,, clean, automatic, sedan,2015,2015 Nissan Altima 2.5 S,16000 ,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-25/6695291912.html,Nissan,Altima
19, 1N4AL3AP7GN375668, excellent, 4 cylinders, fwd, gas,48000, grey, full-size, salvage, automatic, sedan,2016,2016 Nissan Altima 2.5 2017,10300 ,https://losangeles.craigslist.org/sfv/cto/d/2016-nissan-altima/6709749754.html,Nissan,Altima
20,, good, 4 cylinders, fwd, gas,123000, white,, clean, automatic, sedan,2013,2013 Nissan Altima SL,6000 ,https://losangeles.craigslist.org/lgb/cto/d/2013-nissan-altima-sl/6685778778.html,Nissan,Altima
21,, like new, 4 cylinders, fwd, gas,36000, black, full-size, clean, automatic, sedan,2015,Nissan altima,12500 ,https://losangeles.craigslist.org/lgb/cto/d/nissan-altima/6709427549.html,Nissan,Altima
22,, excellent,,, gas,95000,,, clean, automatic,,2012,2012 Nissan Altima 2.5S - Clean Title - LOW MILES,7000 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima-25s-clean/6709404486.html,Nissan,Altima
23, 1N4AL2EP9CC205693, excellent, 4 cylinders, fwd, gas,63908, black,, clean, automatic, coupe,2012,2012 NISSAN ALTIMA COUPE,8499 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-coupe/6692687806.html,Nissan,Altima
24,, like new, 4 cylinders, fwd, gas,66000, black, mid-size, clean, automatic, sedan,2016,Nissan Altima 2.5 S New Body Style,11500 ,https://losangeles.craigslist.org/lgb/cto/d/nissan-altima-25-new-body/6690421353.html,Nissan,Altima
25,, excellent, 4 cylinders, fwd, gas,124000, silver, compact, salvage, automatic, sedan,2008,2008 Nissan Altima,4250 ,https://losangeles.craigslist.org/sfv/cto/d/2008-nissan-altima/6698166984.html,Nissan,Altima
26, 1N4AL21E39N419029, excellent, 4 cylinders, fwd, gas,108000, grey, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima (BOSE Audio),6000 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima-bose-audio/6709266912.html,Nissan,Altima
27,, excellent, 4 cylinders, fwd, gas,82000, brown, mid-size, clean, automatic, sedan,2012,2012 NISSAN ALTIMA 80k CLEAN TITLE,7200 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-80k-clean/6709232844.html,Nissan,Altima
28,, excellent, 4 cylinders,, gas,112676, grey, full-size, clean, automatic, sedan,2008,Nissan Altima 2008  2.5L,4490 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altimal/6698881000.html,Nissan,Altima
29, 1N4BL21E89C141759, like new, 6 cylinders, fwd, gas,69000, silver, full-size, clean, automatic, sedan,2009,2009 Nissan Altima 3.5 SE Fully Loaded.,6800 ,https://losangeles.craigslist.org/lgb/cto/d/2009-nissan-altima-35-se/6699755872.html,Nissan,Altima
30,, excellent, 4 cylinders, fwd, gas,35500, grey,, clean, automatic,,2015,2015 Nissan Altima S low mileage great deal,12900 ,https://losangeles.craigslist.org/lgb/cto/d/2015-nissan-altima-low/6709109308.html,Nissan,Altima
31,, excellent, 4 cylinders, fwd, gas,37000, blue, compact, clean, automatic, sedan,2015,2015 Nissan Altima 2.5 SL black leather low miles,15500 ,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-25-sl/6685060679.html,Nissan,Altima
32,, excellent,, fwd, gas,86121, silver, full-size, clean, automatic, sedan,2014,2014 Nissan ALTIMA Low Mileage Clean,13900 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-low/6704158836.html,Nissan,Altima
33, 1N4AL2EP3CC189300, good, 4 cylinders,, gas,106900, grey, compact, clean, automatic, coupe,2012,Nissan Altima 2012 2.5S,7800 ,https://losangeles.craigslist.org/sgv/cto/d/nissan-altimas/6692553576.html,Nissan,Altima
34,, excellent, 4 cylinders, fwd, gas,36845, grey, mid-size, clean, automatic, sedan,2017,2017 NISSAN ALTIMA SV/CLEAN TITLE/36K Miles,15200 ,https://losangeles.craigslist.org/lgb/cto/d/2017-nissan-altima-sv-clean/6708991747.html,Nissan,Altima
35,, good, 4 cylinders,, gas,72000, black,, clean, automatic,,2014,2014 Nissan Altima S with backup carmera,9500 ,https://losangeles.craigslist.org/wst/cto/d/2014-nissan-altima-with/6708980174.html,Nissan,Altima
36,, like new,,, gas,99000,,, clean, automatic,,2015,"2015 NISSAN ALTIMA S SEDAN WHITE 99,000MILES",9995 ,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-sedan/6704987295.html,Nissan,Altima
37, 1N4AL24E48C222330, good, 4 cylinders, fwd, gas,110700, silver, mid-size, clean, automatic, coupe,2008,2008 Nissan Altima 2.5 S 2doors sedan,4900 ,https://losangeles.craigslist.org/sfv/cto/d/2008-nissan-altima-25-2doors/6702344916.html,Nissan,Altima
38,, excellent, 4 cylinders, fwd, gas,112750, silver, compact, clean, automatic, sedan,2011,2011 Nissan Altima,5600 ,https://losangeles.craigslist.org/sgv/cto/d/2011-nissan-altima/6701267500.html,Nissan,Altima
39,, excellent, 4 cylinders, fwd, gas,167200, grey,, clean, automatic, sedan,2010,2010 Nissan Altima 2.5 S,5000 ,https://losangeles.craigslist.org/sfv/cto/d/2010-nissan-altima-25/6708811861.html,Nissan,Altima
40,, like new, 4 cylinders, fwd, gas,48400, black, mid-size, clean, automatic, sedan,2015,Nissan Altima 2015 2.5 S,9900 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6698307880.html,Nissan,Altima
41, 1N4AL21E88C261698, excellent, 4 cylinders, fwd, gas,48745,,, clean, automatic, sedan,2008,2008 Nissan Altima SL ... Only 48K Miles ... Extra Clean ... Must See,7499 ,https://losangeles.craigslist.org/wst/cto/d/2008-nissan-altima-sl-only/6708585320.html,Nissan,Altima
42,, good, 4 cylinders, 4wd, gas,181000, red,, clean, automatic, sedan,2008,2008 Nissan Altima 2.5 S,2299 ,https://losangeles.craigslist.org/lac/cto/d/2008-nissan-altima-25/6708572642.html,Nissan,Altima
43,, excellent, 4 cylinders, fwd, gas,59400, white, compact, salvage, automatic, sedan,2009,"Nissan Altima 2009 Low Mileage 59,400 Miles",4500 ,https://losangeles.craigslist.org/lgb/cto/d/nissan-altima-2009-low/6705065452.html,Nissan,Altima
44,, excellent, 4 cylinders, fwd, gas,75000, silver, compact, salvage, automatic, sedan,2011,2011 Nissan Altima 2.5 s,5800 ,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima-25/6695878199.html,Nissan,Altima
45,, excellent, 4 cylinders, fwd, gas,52000, white, full-size, clean, automatic, sedan,2016,2016 NISSAN ALTIMA  2.5,10500 ,https://losangeles.craigslist.org/lgb/cto/d/2016-nissan-altima-25/6705065610.html,Nissan,Altima
46,, excellent, 4 cylinders, fwd, gas,124500, silver, compact, salvage, automatic, sedan,2008,2008 Nissan Altima,4250 ,https://losangeles.craigslist.org/sfv/cto/d/2008-nissan-altima/6698917834.html,Nissan,Altima
47,, good, 6 cylinders, fwd, gas,99500, grey, compact, salvage, automatic, sedan,2012,2012 Nissan Altima 2.5S Sedan,5950 ,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima-25s-sedan/6708403165.html,Nissan,Altima
48,, like new, 4 cylinders, fwd, gas,20000, black, mid-size, clean, automatic, sedan,2016,"2013 2014 2015  2016 NISSAN ALTIMA SR, 4DR BLACK",16400 ,https://losangeles.craigslist.org/sgv/cto/d/nissan-altima-sr-4dr-black/6701610767.html,Nissan,Altima
49, 1N4BL2AP0BN478633, like new, 6 cylinders,, gas,62960, red,, clean, automatic,,2011,2011 Nissan altima,9999 ,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima/6708298090.html,Nissan,Altima
50,, excellent, 4 cylinders,, gas,72000, black,, clean, automatic,,2014,2014 Nissan Altima S with backup carmera,9500 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-with/6708291807.html,Nissan,Altima
51,, like new, 4 cylinders, fwd, gas,42000, white,, salvage, automatic,,2014,2014 Nissan Altima S 2.5 (Gas Saver),8300 ,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-25-gas/6708254367.html,Nissan,Altima
52, 1N4AL2EPXBC182682, like new, 4 cylinders,, gas,110881, purple,, clean, automatic,,2011,2011 Nissan altima,7999 ,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima/6708156928.html,Nissan,Altima
53,, excellent, 4 cylinders, rwd, gas,140000, custom, compact, clean, automatic, sedan,2010,2010 Nissan Altima SL,5500 ,https://losangeles.craigslist.org/lgb/cto/d/2010-nissan-altima-sl/6698828348.html,Nissan,Altima
54,, like new, 6 cylinders,, gas,161000, white, full-size, salvage, automatic, sedan,2008,Altima 2008 3.5 SE,4500 ,https://losangeles.craigslist.org/ant/cto/d/altimase/6707998079.html,Nissan,Altima
55,, excellent,,, gas,84000,,, clean, automatic,,2012,2012 nissan Altima S (Low Miles!),7500 ,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima-low-miles/6707952491.html,Nissan,Altima
56, 1N4CL21EX9C127379, excellent, 4 cylinders, fwd, gas,137000, grey, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima Hybrid Perfect Runner SMOGGED 3/19Tags CLEAN TITLE,4400 ,https://losangeles.craigslist.org/wst/cto/d/2009-nissan-altima-hybrid/6705674948.html,Nissan,Altima
57,, good, 4 cylinders, fwd, gas,112000, white, mid-size, salvage, automatic, sedan,2013,2013 Nissan Altima,6200 ,https://losangeles.craigslist.org/sfv/cto/d/2013-nissan-altima/6707584435.html,Nissan,Altima
58,, excellent, 4 cylinders, fwd, gas,136000, silver, full-size, clean, automatic, sedan,2008,2008 Nissan altima,3650 ,https://losangeles.craigslist.org/lgb/cto/d/2008-nissan-altima/6707506670.html,Nissan,Altima
59, 1N4CL21E59C164131, good, 4 cylinders, rwd, hybrid,209241, silver, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima Hybrid.. I would consider taking payments for the car,4250 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima-hybrid/6705054240.html,Nissan,Altima
60,, like new, 4 cylinders,, gas,140000,,, clean, automatic,,2008,2008 Nissan Altima,3500 ,https://losangeles.craigslist.org/lgb/cto/d/2008-nissan-altima/6707138694.html,Nissan,Altima
61,, excellent, 4 cylinders,, gas,111000,,, clean, automatic,,2011,2011 Nissan Altima clean Carfax clean title in hand great economical vehicle,5999 ,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima-clean/6707058951.html,Nissan,Altima
62,, excellent, 4 cylinders,, gas,72000, black,, clean, automatic,,2014,2014 Nissan Altima S with backup carmera,9500 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima-with/6706751735.html,Nissan,Altima
63,, like new, 4 cylinders, fwd, gas,54761, white, mid-size, clean, automatic, sedan,2013,2013 NISSAN ALTIMA SL,10900 ,https://losangeles.craigslist.org/sgv/cto/d/2013-nissan-altima-sl/6706635232.html,Nissan,Altima
64,, excellent, 4 cylinders,, gas,145000,,, clean, automatic,,2008,2008 Nissan Altima with Warranty,3700 ,https://losangeles.craigslist.org/lgb/cto/d/2008-nissan-altima-with/6706625415.html,Nissan,Altima
65, 1N4AL3APXEN262228, like new, 4 cylinders, fwd, gas,68825, white, mid-size, clean, automatic, sedan,2014,2014 Nissan Altima 2.5 S,10999 ,https://losangeles.craigslist.org/lgb/cto/d/2014-nissan-altima-25/6706561314.html,Nissan,Altima
66, 1N4AL2AP4BN490408, good, 4 cylinders, fwd, gas,75285, black,, clean, automatic, sedan,2011,2011 Nissan Altima S Sedan 4D,7999 ,https://losangeles.craigslist.org/sgv/cto/d/2011-nissan-altima-sedan-4d/6686039547.html,Nissan,Altima
67, 1N4AL2AP4BN490408, good, 4 cylinders, fwd, gas,75285, black, compact, clean, automatic, sedan,2011,2011 Nissan Altima S Sedan,7999 ,https://losangeles.craigslist.org/lgb/cto/d/2011-nissan-altima-sedan/6697753442.html,Nissan,Altima
68, 1N4CL21E59C164131, good, 4 cylinders, rwd, hybrid,209241, silver, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima Hybrid.. I would consider taking payments for the car,4250 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima-hybrid/6706417696.html,Nissan,Altima
69,, like new, 4 cylinders, fwd, gas,93000, silver, compact, salvage, automatic, sedan,2011,Nissan Altima,5500 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6692906554.html,Nissan,Altima
70,, excellent, 4 cylinders, fwd, gas,180000, blue, mid-size, clean, automatic, sedan,2010,2010 Nissan Altima 2.5S Excellent Condition,4900 ,https://losangeles.craigslist.org/lgb/cto/d/2010-nissan-altima-25s/6706244014.html,Nissan,Altima
71,, like new, 4 cylinders, fwd, gas,160000, white,, salvage, automatic,,2008,2008 altima 2.5,2900 ,https://losangeles.craigslist.org/sfv/cto/d/2008-altima-25/6705725656.html,Nissan,Altima
72,, like new, 4 cylinders, fwd, gas,29873, white,, clean, automatic,,2017,----2017 NISSAN ALTIMA 2.5---LIKE NEW--WHITE---MUST SEE---,15200 ,https://losangeles.craigslist.org/lgb/cto/d/2017-nissan-altima-25-like/6699124404.html,Nissan,Altima
73,, good, 4 cylinders, rwd, gas,94200, white, compact, clean, automatic, coupe,2008,SPORTS CAR!,5500 ,https://losangeles.craigslist.org/sfv/cto/d/sports-car/6705682771.html,Nissan,Altima
74,, excellent, 4 cylinders,, gas,72000, black,, clean, automatic,,2014,2014 Nissan Altima S with backup carmera,9500 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima-with/6698696446.html,Nissan,Altima
75, 1N4AA5AP0BC807085, good, 6 cylinders, fwd, gas,74000, silver, full-size, clean, automatic, sedan,2011,Nissan Maxima 2011,13500 ,https://losangeles.craigslist.org/sfv/cto/d/nissan-maxima-2011/6686774118.html,Nissan,Altima
