,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,year,Title,Price,links,Make,Model
76,, excellent, 4 cylinders, fwd, hybrid,117000, silver, full-size, clean, automatic,,2008,2008 Nissan Altima Hybrid,6000 ,https://losangeles.craigslist.org/sgv/cto/d/2008-nissan-altima-hybrid/6694883422.html,Nissan,Altima
77,, excellent,,, gas,125000, grey, mid-size, salvage, automatic,,2010,Nissan Altima 2010,4300 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2010/6692038326.html,Nissan,Altima
78,, excellent,,, gas,125000, grey, mid-size, salvage, automatic,,2010,Nissan Altima 2010,4300 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2010/6692037979.html,Nissan,Altima
79,, excellent,,, gas,125000, grey, mid-size, salvage, automatic,,2010,Nissan Altima 2010,4300 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2010/6692038766.html,Nissan,Altima
80,, excellent,,, gas,125000, grey, mid-size, salvage, automatic,,2010,Nissan Altima 2010,4300 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2010/6692039383.html,Nissan,Altima
81,, excellent, 4 cylinders,, gas,72000, black,, clean, automatic,,2014,2014 Nissan Altima S with backup carmera,9500 ,https://losangeles.craigslist.org/wst/cto/d/2014-nissan-altima-with/6702179696.html,Nissan,Altima
82,, good, 4 cylinders, fwd, gas,166000, white, mid-size, clean, automatic, sedan,2010,Altima 2010 2.5S,4750 ,https://losangeles.craigslist.org/sgv/cto/d/altimas/6704628549.html,Nissan,Altima
83, 1N4AL3AP2EN246766, like new, 4 cylinders, fwd, gas,103000, black, mid-size, clean, automatic, sedan,2014,2014 Nissan Altima S,7900 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima/6688439605.html,Nissan,Altima
84, 1N4AL2AP0CC197828, good, 4 cylinders, fwd, gas,99742, yellow, mid-size, clean, automatic, sedan,2012,2012 Nissan Altima very clean I would consider taking payments,8450 ,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima-very-clean/6704188873.html,Nissan,Altima
85,, good, 6 cylinders, fwd, gas,135000, silver, compact, clean, manual, coupe,2008,2008 Nissan Altima 3.5 SE Coupe,4500 ,https://losangeles.craigslist.org/lac/cto/d/2008-nissan-altima-35-se-coupe/6704125670.html,Nissan,Altima
86,, excellent, 4 cylinders,, gas,63000,,, clean, automatic,,2015,2015,14500 ,https://losangeles.craigslist.org/sfv/cto/d/2015/6703815670.html,Nissan,Altima
87,, excellent, 4 cylinders,, gas,133, silver,, clean, automatic,,2015,Nissan Altima S 2015 con 133k millas en oferta,7299 ,https://losangeles.craigslist.org/lgb/cto/d/nissan-altima-2015-con-133k/6680682381.html,Nissan,Altima
88,, excellent, 4 cylinders,, gas,133, silver,, clean, automatic,,2015,Nissan Altima S 2015 con 133k millas en oferta,7299 ,https://losangeles.craigslist.org/sgv/cto/d/nissan-altima-2015-con-133k/6680682598.html,Nissan,Altima
89,, good, 4 cylinders, fwd, gas,153000, grey,, clean, automatic,,2010,2010 Nissan Altima $4000,4000 ,https://losangeles.craigslist.org/lac/cto/d/2010-nissan-altima-4000/6703448143.html,Nissan,Altima
90,, good,,, gas,140000,,, salvage, automatic,,2011,2009 Nissan Altima,2200 ,https://losangeles.craigslist.org/ant/cto/d/2009-nissan-altima/6703344120.html,Nissan,Altima
91,, like new, 4 cylinders,, gas,25987,, mid-size, clean, automatic, sedan,2017,"2017 Stunning Black Nissan Altima, Clean not Salvaged!",14000 ,https://losangeles.craigslist.org/sgv/cto/d/2017-stunning-black-nissan/6691298841.html,Nissan,Altima
92,, excellent, 6 cylinders, fwd, gas,141000, white,, clean, automatic, coupe,2008,Altima 3.5 V6 2008 Coupe se Nissan,5000 ,https://losangeles.craigslist.org/lgb/cto/d/altima-35-vcoupe-se-nissan/6697849951.html,Nissan,Altima
93,, excellent, 6 cylinders, fwd, gas,141000, white, compact, clean, automatic, coupe,2008,Altima 3.5 V6 2008 Coupe se Nissan,5000 ,https://losangeles.craigslist.org/lgb/cto/d/altima-35-vcoupe-se-nissan/6681252605.html,Nissan,Altima
94, 1NCL21EX9C127379, excellent, 4 cylinders, fwd, gas,137312, grey, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima Hybrid Cold A/C Perfect Runner 4/19Tags CLEAN TITLE,4400 ,https://losangeles.craigslist.org/wst/cto/d/2009-nissan-altima-hybrid/6676549356.html,Nissan,Altima
95,, like new, 6 cylinders, fwd, gas,87826, black, mid-size, clean, automatic,,2012,2012  NISSAN ALTIMA,7600 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima/6678114464.html,Nissan,Altima
96,, excellent, 4 cylinders, fwd, gas,36845, grey, mid-size, clean, automatic, sedan,2017,2017 NISSAN ALTIMA SV/CLEAN TITLE/36K MILES,15200 ,https://losangeles.craigslist.org/lgb/cto/d/2017-nissan-altima-sv-clean/6701274271.html,Nissan,Altima
97,, good, 4 cylinders, rwd, gas,87, black, compact, clean, automatic, sedan,2012,2012 NISSAN ALTIMA,6600 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6701045806.html,Nissan,Altima
98,, like new, 4 cylinders, fwd, gas,100, custom, mid-size, salvage, automatic, sedan,2010,Nissan altima 2010,4500 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2010/6700636705.html,Nissan,Altima
99, 1N4AL2AP4AN479133, good, 4 cylinders, fwd, gas,144000, blue, full-size, clean, automatic, sedan,2010,2010 Nissan Altima,4600 ,https://losangeles.craigslist.org/lgb/cto/d/2010-nissan-altima/6700523532.html,Nissan,Altima
100, Xxxxxxxxxxxx, excellent, 4 cylinders, fwd, gas,119000, red, mid-size, clean, automatic, sedan,2012,2012 NISSAN ALTIMA  2.5S,6500 ,https://losangeles.craigslist.org/ant/cto/d/2012-nissan-altima-25s/6676568145.html,Nissan,Altima
101,, good, 4 cylinders, fwd, gas,101520, silver, full-size, clean, automatic, sedan,2009,2009 Nissan Altima 2.5 SL leather sunroof heated seats fully loaded,5200 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima-25-sl/6700158315.html,Nissan,Altima
102,, excellent, 4 cylinders, fwd, gas,79500, white, mid-size, clean, automatic, sedan,2014,2014Nissan Altima,12000 ,https://losangeles.craigslist.org/sfv/cto/d/2014nissan-altima/6694638951.html,Nissan,Altima
103,, good, 4 cylinders, rwd, gas,87, black, compact, clean, automatic, sedan,2012,2012 NISSAN ALTIMA,6500 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6699680347.html,Nissan,Altima
104, 1n4al3ap8ec181577, excellent, 4 cylinders, fwd, gas,64998, black, full-size, salvage, automatic, sedan,2014,2014 nissan altima salvaged,7200 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima-salvaged/6699630671.html,Nissan,Altima
105,, like new, 4 cylinders,, gas,90, grey,, clean, automatic, coupe,2010,LIKE NEW NISSAN ALTIMA COUPE,7499 ,https://losangeles.craigslist.org/lgb/cto/d/like-new-nissan-altima-coupe/6699624861.html,Nissan,Altima
106,, excellent, 4 cylinders, fwd, gas,60765, grey,, clean, automatic,,2011,"2011 Nissan Altima 2.5s, 1 owner, full service records, 60k miles",7600 ,https://losangeles.craigslist.org/sfv/cto/d/2011-nissan-altima-25s-1/6699036947.html,Nissan,Altima
107,, excellent, 4 cylinders, fwd, gas,103000, blue, full-size, salvage, automatic, sedan,2010,2010 Nissan Altima,5000 ,https://losangeles.craigslist.org/sfv/cto/d/2010-nissan-altima/6698920039.html,Nissan,Altima
108,, excellent, 4 cylinders,, gas,91300, black,, clean, automatic,,2013,*Great Deal* 2013 Nissan Altima SV,8900 ,https://losangeles.craigslist.org/wst/cto/d/great-deal-2013-nissan-altima/6694700731.html,Nissan,Altima
109,, good, 4 cylinders, fwd, gas,134000, white, full-size, clean, automatic, pickup,2009,09 Nissan Altima,5000 ,https://losangeles.craigslist.org/sfv/cto/d/09-nissan-altima/6698319269.html,Nissan,Altima
110,, good, 4 cylinders, rwd, gas,75054, grey, mid-size, clean, automatic, sedan,2015,2015 Nissan Altima 2.5,9900 ,https://losangeles.craigslist.org/lgb/cto/d/2015-nissan-altima-25/6698304977.html,Nissan,Altima
111,, good, 4 cylinders, fwd, gas,123000, red, full-size, salvage, automatic,,2014,2014 Nissan Altima,6000 ,https://losangeles.craigslist.org/sfv/cto/d/2014-nissan-altima/6698118064.html,Nissan,Altima
112,, new, 4 cylinders, fwd, gas,20000, black, mid-size, clean, automatic, sedan,2016,"2016 NISSAN ALTIMA SR, BLACK/BLACK INT 4 CILINDERS",16400 ,https://losangeles.craigslist.org/sfv/cto/d/2016-nissan-altima-sr-black/6680802511.html,Nissan,Altima
113,, like new, 4 cylinders, fwd, gas,99552, white, mid-size, clean, automatic, sedan,2015,"2015 Nissan Altima S,No Accidents,Well Maintained!!",9995 ,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-sno/6696446922.html,Nissan,Altima
114,, good,,, hybrid,200000,,, clean, automatic,,2008,Nissan Altima Hybrid 2008,3000 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-hybrid-2008/6696433476.html,Nissan,Altima
115,, excellent, 4 cylinders, fwd, gas,16000, black, full-size, clean, automatic, sedan,2017,2017 NISSAN ALTIMA SL 16K MILAGE LEATHER,15900 ,https://losangeles.craigslist.org/sgv/cto/d/2017-nissan-altima-sl-16k/6671425177.html,Nissan,Altima
116,, excellent, 4 cylinders, fwd, gas,67000, white, mid-size, clean, automatic, sedan,2012,"2012 Nissan Altima * 4 Cly * Auto * * Sale, Sale, Sale * *",7495 ,https://losangeles.craigslist.org/wst/cto/d/2012-nissan-altima-4-cly-auto/6671805958.html,Nissan,Altima
117,, excellent, 4 cylinders, fwd, diesel,185000,, mid-size, clean, other, coupe,2010,2010 Nissan Altima,5350 ,https://losangeles.craigslist.org/lac/cto/d/2010-nissan-altima/6696177586.html,Nissan,Altima
118,, excellent, 4 cylinders, fwd, gas,118000, black, mid-size, clean, automatic, sedan,2012,2012 *********************** NISSAN ALTIMA,7600 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima/6672058724.html,Nissan,Altima
119,, good,,, gas,120754, grey,, clean, automatic,,2009,2009 Nissan Altima for Sale,4200 ,https://losangeles.craigslist.org/wst/cto/d/2009-nissan-altima-for-sale/6689072189.html,Nissan,Altima
120,, good, 4 cylinders, rwd, gas,87, black, compact, clean, automatic, sedan,2012,2012 NISSAN ALTIMA,6700 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6696043506.html,Nissan,Altima
121, 1N4AL2AP3BN455469, excellent, 4 cylinders,, gas,115000, black,, clean, automatic, sedan,2011,2011 NISSAN ALTIMA 2.5 S,6900 ,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima-25/6695562407.html,Nissan,Altima
122,, like new, 4 cylinders, fwd, gas,28000, brown, full-size, salvage, automatic, sedan,2015,2015 Nissan Altima SV,9500 ,https://losangeles.craigslist.org/lac/cto/d/2015-nissan-altima-sv/6695548967.html,Nissan,Altima
123,, good, 4 cylinders,, gas,115000,,, clean, automatic,,2009,2009 Nissan Altima,5000 ,https://losangeles.craigslist.org/sfv/cto/d/2009-nissan-altima/6695057723.html,Nissan,Altima
124,, good, 4 cylinders, rwd, gas,87, black, compact, clean, automatic, sedan,2012,2012 NISSAN ALTIMA,6500 ,https://losangeles.craigslist.org/lgb/cto/d/2012-nissan-altima/6694973340.html,Nissan,Altima
125,, good, 4 cylinders,, gas,93000, red, compact, clean, automatic, coupe,2010,2010 Premium Nissan Altima 2.5 S,7400 ,https://losangeles.craigslist.org/lgb/cto/d/2010-premium-nissan-altima-25/6678776004.html,Nissan,Altima
126,, like new, 4 cylinders, fwd, gas,35500, grey, compact, salvage, automatic, sedan,2016,Nissan Altima 2016,8900 ,https://losangeles.craigslist.org/sfv/cto/d/nissan-altima-2016/6668754210.html,Nissan,Altima
127,, excellent, 4 cylinders,, gas,93, silver,, lien, automatic, sedan,2014,2014 Nissan Altima ~ RUNS AND LOOKS LIKE NEW !!,7900 ,https://losangeles.craigslist.org/wst/cto/d/2014-nissan-altima-runs-and/6693052344.html,Nissan,Altima
128,, excellent, 4 cylinders, fwd, gas,43000, red, full-size, clean, automatic, sedan,2014,Red Nissan Altima for sale!!,15200 ,https://losangeles.craigslist.org/lgb/cto/d/red-nissan-altima-for-sale/6691582884.html,Nissan,Altima
129, 1N4AL3AP2HC227456, like new, 4 cylinders, rwd, gas,16700, blue, mid-size, salvage, automatic, sedan,2017,"2017 NISSAN ALTIMA SR    LOW 16,700 MILES, PADDLE SHIFTERS",14950 ,https://losangeles.craigslist.org/sgv/cto/d/2017-nissan-altima-sr/6670254676.html,Nissan,Altima
130,, good, 4 cylinders,, gas,160000, red, full-size, clean, automatic, sedan,2011,2011 nissan Altima,4300 ,https://losangeles.craigslist.org/lac/cto/d/2011-nissan-altima/6691029496.html,Nissan,Altima
131, 1N4AL2APXCC141296, excellent, 4 cylinders, fwd, gas,97121, black, full-size, clean, automatic, sedan,2012,2012 Nissan ALTIMA 2.5S Excellent Custom Wheels,8995 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-25s/6665053304.html,Nissan,Altima
132,, excellent, 4 cylinders, fwd, gas,97121, black, full-size, clean, automatic, sedan,2012,2012 Nissan ALTIMA Custom wheels,9995 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-custom/6666612375.html,Nissan,Altima
133,, excellent, 4 cylinders,, gas,65472,,, salvage, automatic,,2012,2012 NISSAN ALTIMA COUPE  civic tc g35 2013,6500 ,https://losangeles.craigslist.org/lac/cto/d/2012-nissan-altima-coupe/6690752122.html,Nissan,Altima
134,, good, 4 cylinders, fwd, gas,75000, blue, mid-size, clean, automatic, sedan,2012,2012 Nissan Altima 2.5 S,6249 ,https://losangeles.craigslist.org/sgv/cto/d/2012-nissan-altima-25/6690378436.html,Nissan,Altima
135,, good, 4 cylinders, fwd, gas,152000,,, clean, automatic,,2008,2008 Nissan Altima 152k clean,2800 ,https://losangeles.craigslist.org/lac/cto/d/2008-nissan-altima-152k-clean/6664233223.html,Nissan,Altima
136,, excellent, 4 cylinders, fwd, hybrid,89000, grey, full-size, salvage, automatic, sedan,2011,Nissan altima 2011,4800 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2011/6689656424.html,Nissan,Altima
137,, good, 4 cylinders,, gas,106000, silver,, clean, automatic,,2012,2012 Nissan altima,5700 ,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima/6689401137.html,Nissan,Altima
138,, excellent, 4 cylinders, fwd, gas,11865, silver,, missing, automatic,,2015,"2015 Nissan Altima 11k miles, 1 Owner, Moving Must Sell",11500 ,https://losangeles.craigslist.org/lgb/cto/d/2015-nissan-altima-11k-miles/6689025699.html,Nissan,Altima
139,, good, 4 cylinders, fwd, gas,139000, white, mid-size, salvage, automatic,,2012,2012 Nissan altima,6500 ,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima/6688587648.html,Nissan,Altima
140,, good, 4 cylinders, fwd, gas,56000,, mid-size, salvage, automatic, sedan,2013,2013 Nissan Altima S 56k millas,6800 ,https://losangeles.craigslist.org/sfv/cto/d/2013-nissan-altima-56k-millas/6664964706.html,Nissan,Altima
141, 1N4BL21E89N438180, good, 6 cylinders, fwd, gas,184000, silver, mid-size, clean, automatic, sedan,2009,2009 Nissan Altima 3.5SE,4500 ,https://losangeles.craigslist.org/lac/cto/d/2009-nissan-altima-35se/6688450405.html,Nissan,Altima
142,, like new, 4 cylinders,, gas,84, white,, salvage, automatic,,2015,Nissan Altima 2015,7500 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-2015/6688272162.html,Nissan,Altima
143,, good, 4 cylinders, fwd, gas,70500, grey, mid-size, salvage, automatic, sedan,2010,2010 NISSAN ALTIMA 2.5 SL,6900 ,https://losangeles.craigslist.org/sgv/cto/d/2010-nissan-altima-25-sl/6687741706.html,Nissan,Altima
144,, like new, 4 cylinders, fwd, gas,14999, grey,, clean, automatic,,2016,2016 Nissan Altima,14999 ,https://losangeles.craigslist.org/lac/cto/d/2016-nissan-altima/6684035050.html,Nissan,Altima
145,, good, 6 cylinders,, gas,153000, red, compact, clean, automatic, coupe,2011,2011 Nissan Altima Coupe - PRICE REDUCED,6700 ,https://losangeles.craigslist.org/ant/cto/d/2011-nissan-altima-coupe/6662655469.html,Nissan,Altima
146,, good, 4 cylinders, fwd, gas,111,,, clean, automatic,,2011,Nissan Altima,5800 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6685821655.html,Nissan,Altima
147,, good, 4 cylinders,, gas,74528, white,, clean, automatic, sedan,2012,Good,6800 ,https://losangeles.craigslist.org/sfv/cto/d/good/6685574559.html,Nissan,Altima
148,, good,,, gas,108000, black,, clean, automatic,,2008,Nissan 2008 Altima coupe,2800 ,https://losangeles.craigslist.org/lgb/cto/d/nissan-2008-altima-coupe/6685429639.html,Nissan,Altima
149,, good,,, gas,85000, silver,, clean, automatic, coupe,2009,Nissan Altima Coupe for sale!!,6000 ,https://losangeles.craigslist.org/wst/cto/d/nissan-altima-coupe-for-sale/6663901123.html,Nissan,Altima
150,, good, 4 cylinders,, gas,80000, black,, clean, automatic, coupe,2012,Nissan Altima Coupe 2012 - Black 80K Miles - Runs Amazing *Cash Only*,8000 ,https://losangeles.craigslist.org/sfv/cto/d/nissan-altima-coupe-2012/6685334820.html,Nissan,Altima
151,, like new, 4 cylinders, fwd, gas,48400, black, mid-size, clean, automatic, sedan,2015,Nissan Altima 2015 2.5 S,9900 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6658609275.html,Nissan,Altima
152,, like new, 4 cylinders,, gas,65000, grey,, clean, automatic,,2010,Nissan Altima coupe  010,7999 ,https://losangeles.craigslist.org/lac/cto/d/nissan-altima-coupe-010/6666027001.html,Nissan,Altima
153,, excellent, 4 cylinders,, gas,50000, white, full-size, clean, automatic, sedan,2016,2016 Nissan Altima 2.5 Clean Title,11800 ,https://losangeles.craigslist.org/lac/cto/d/2016-nissan-altima-25-clean/6684447019.html,Nissan,Altima
154,, good, 4 cylinders, fwd, gas,144000, black, compact, salvage, manual, coupe,2009,2009 Nissan Altima Coupe,3200 ,https://losangeles.craigslist.org/lac/cto/d/2009-nissan-altima-coupe/6684327820.html,Nissan,Altima
155,, excellent, 4 cylinders, fwd, gas,89923, silver, full-size, clean, automatic, sedan,2012,7997 2012 Nissan Altima 2.5S,7995 ,https://losangeles.craigslist.org/lgb/cto/d/nissan-altima-25s/6683679875.html,Nissan,Altima
