id,Title,Make,Model,Year,Condition,Cylinders,Drive,Fuel,Odometer,Paint_color,Size,Title_status,Transmission,Type,Price,VIN,Link
0,Honda Accord,Honda,Accord,2010, good, 4 cylinders, fwd, gas,117000, grey, mid-size, salvage, automatic, sedan,5800.00, 1hgcp2f34aa019623,https://losangeles.craigslist.org/lgb/cto/d/honda-accord/6710644067.html
1,2012 Honda accord coupe,Honda,Accord,2012, excellent, 4 cylinders,, gas,111,,, clean, automatic,,7995.00,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-coupe/6699535701.html
2,2017 Honda Acoord Sport,Honda,Accord,2017, good, 4 cylinders, fwd, gas,22, black, mid-size, salvage, automatic, sedan,14500.00,,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-acoord-sport/6703846822.html
3,2017 Honda Accord sport special edition clean tittle,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,2017, black,, clean, automatic, sedan,18900.00,,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-sport/6710581560.html
4,2011 Honda Accord Exl,Honda,Accord,2011, good, 4 cylinders, fwd, gas,82500, black, mid-size, clean, automatic, sedan,8300.00, 1HGCP2F88BA080938,https://losangeles.craigslist.org/sfv/cto/d/2011-honda-accord-exl/6710548793.html
5,"* 2009 Honda Accord LX-p 4Door Sedan 100K * NO ACCIDENT ,PERFE RUN !!!",Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, automatic,,6450.00, 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6694133929.html
6,2017 Honda Accord EX-L V6 Clean Title,Honda,Accord,2017, like new, 6 cylinders, fwd, gas,21000, grey, mid-size, clean, automatic, sedan,23900.00,,https://losangeles.craigslist.org/sfv/cto/d/2017-honda-accord-ex-v6-clean/6704045437.html
7,2012 Honda Accord EX-L - $10900,Honda,Accord,2012, excellent, 4 cylinders, rwd, gas,72000,,, clean, automatic, sedan,10900.00,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-ex-10900/6710429893.html
8,Honda Accord 2015 palmdale,Honda,Accord,2015, like new, 4 cylinders,, gas,61000,,, salvage, automatic,,9500.00,,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2015-palmdale/6710420915.html
9,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,13400.00, 1HGCR2F72EA172102,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex-sedanmiles/6692302788.html
10,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,13400.00, 1HGCR2F72EA172102,https://losangeles.craigslist.org/sgv/cto/d/honda-accord-ex-sedanmiles/6685413365.html
11,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,13400.00, 1HGCR2F72EA172102,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-ex-sedanmiles/6692303055.html
12,2012 Honda Accord SE,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,65000, silver, full-size, salvage, automatic, sedan,8100.00,,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-accord-se/6710250364.html
13,2008 Accord Ex 111k 2nd owner no accidents,Honda,Accord,2008, good, 4 cylinders, fwd, gas,111000, silver,, lien, automatic, coupe,7000.00, 1HGCS12868A022169,https://losangeles.craigslist.org/sfv/cto/d/2008-accord-ex-111k-2nd-owner/6710162494.html
14,2009 Honda Accord,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,114000, silver, mid-size, clean, automatic, sedan,7500.00,,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-accord/6710160069.html
15,2010 Honda Accord,Honda,Accord,2010, excellent, 4 cylinders, fwd, gas,43000, grey, full-size, clean, automatic, sedan,10500.00,,https://losangeles.craigslist.org/wst/cto/d/2010-honda-accord/6702371020.html
16,2015 HONDA ACCORD LX  (25K),Honda,Accord,2015, new, 4 cylinders, fwd, gas,25000, blue, full-size, salvage, automatic, sedan,9900.00,,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-lx-25k/6700145101.html
17,2009 HONDA ACCORD LX-p 4door Sedan 100K miles * NO ACCIDENT * XLNT,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,100000,,, clean, automatic,,6400.00, 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6705335300.html
18,Honda accord exl 2008,Honda,Accord,2008, good, 6 cylinders, fwd, gas,142000, grey, mid-size, salvage, automatic, sedan,4800.00,,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-exl-2008/6694650816.html
19,Honda Accord 2009 EX-L Sedan 84K miles -,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,84878, grey, full-size, clean, automatic, sedan,9800.00, 1hgcp36839a034871,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-2009-ex-sedan/6710114203.html
20,2009 HONDA ACCORD EX-L Pearl White CLEAN TITLE Leather Seats OBO,Honda,Accord,2009, like new,, fwd, gas,111500, white, full-size, clean, automatic, sedan,7200.00, 1HGCP36819A032486,https://losangeles.craigslist.org/lgb/cto/d/2009-honda-accord-ex-pearl/6709947784.html
21,2017 Honda Accord Sport special Edition,Honda,Accord,2017, like new, 4 cylinders,, gas,26000,,, salvage, automatic,,15290.00,,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-sport/6709886220.html
22,2009 Honda Accord LX-p 4D Sedan 100K miles *NO ACCIDENT  * XLNT,Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, automatic,,6400.00, 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4d-sedan/6700479922.html
23,2012 Honda Accord EXL Fully Loaded,Honda,Accord,2012, excellent, 6 cylinders, fwd, gas,50000, black, compact, salvage, automatic, coupe,8200.00, 1HGCS2B82CA001446,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord-exl-fully/6709746902.html
24,2008 honda accord,Honda,Accord,2008, good, 4 cylinders, fwd, gas,120, silver, mid-size, salvage, automatic,,5600.00,,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-accord/6707353739.html
25,2017 Honda Accord Sport Special Edition Silver,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,13000, silver,, salvage, automatic, sedan,15400.00,,https://losangeles.craigslist.org/ant/cto/d/2017-honda-accord-sport/6704048115.html
26,2017 HONDA ACCORD. LX CLEAN TITLE,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,11000, black,, clean, automatic, sedan,15500.00,,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-lx-clean/6709625260.html
27,2014 Honda Accord Sport Model,Honda,Accord,2014, like new, 4 cylinders, fwd, gas,38406, black, compact, clean, manual, sedan,15500.00,,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-sport-model/6709462627.html
28,2009 Honda Accord EX-L V6 4-Door Sedan,Honda,Accord,2009, excellent,,, gas,108953, grey,, clean, automatic,,9995.00, 1HGCP36829A030777,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-ex-v6-4/6709348524.html
29,2013 Honda Accord sport,Honda,Accord,2013, good, 4 cylinders, fwd, gas,108523, grey, compact, clean, automatic, sedan,5200.00,,https://losangeles.craigslist.org/lac/cto/d/2013-honda-accord-sport/6709313665.html
30,2017 HONDA ACCORD LX,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,38200, grey, full-size, salvage, automatic, sedan,10900.00,,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-lx/6709233077.html
31,2013 HONDA ACCORD EX COUPE ***ONE OF ITS KIND***,Honda,Accord,2013, excellent, 4 cylinders, fwd, gas,65400, white, mid-size, clean, automatic, coupe,13995.00,,https://losangeles.craigslist.org/sgv/cto/d/2013-honda-accord-ex-coupe/6709209495.html
32,2009 HONDA ACCORD LX-p 4door 100K^ NO ACCIDENT ^ Excellent RUN!,Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, other,,6500.00, 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6702903705.html
33,2013 HONDA ACCORD LX CLEAN TITLE CLEAN CAR FAX,Honda,Accord,2013, like new, 4 cylinders,, gas,102, red,, clean, automatic, sedan,10450.00,,https://losangeles.craigslist.org/lac/cto/d/2013-honda-accord-lx-clean/6704263193.html
34,2011 Honda accord SE sedan automatic clean car!,Honda,Accord,2011, excellent, 4 cylinders, fwd, gas,80000, silver, compact, salvage, automatic, sedan,6999.00, see photo,https://losangeles.craigslist.org/wst/cto/d/2011-honda-accord-se-sedan/6687397825.html
35,2009 Honda Accord LX-p 4door Sedan 100K ^NO ACCIDENT ^Original OWNER,Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, automatic,,6450.00, 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6701252571.html
36,2017 HONDA ACCORD SPORT,Honda,Accord,2017, new, 4 cylinders,, gas,14000, red,, rebuilt, automatic,,14500.00,,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6703421284.html
37,Honda Accord V6 Ex edition,Honda,Accord,2008, good, 6 cylinders, fwd, gas,150000, green, full-size, clean, automatic, sedan,6200.00,,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-v6-ex-edition/6704500067.html
38,2015 HONDA ACCORD SPORT SEDAN,Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,35000, silver, mid-size, clean, automatic, sedan,16600.00, 1HGCR2F5XFA063578,https://losangeles.craigslist.org/wst/cto/d/2015-honda-accord-sport-sedan/6688180883.html
39,2016 Honda Accord Sport,Honda,Accord,2016, like new, 4 cylinders, fwd, gas,29000, silver, compact, salvage, automatic, sedan,13990.00,,https://losangeles.craigslist.org/lac/cto/d/2016-honda-accord-sport/6708622001.html
40,2012 Honda accord exl,Honda,Accord,2012, like new, 4 cylinders, fwd, gas,24000,, compact, salvage, automatic,,8900.00,,https://losangeles.craigslist.org/lac/cto/d/2012-honda-accord-exl/6703748227.html
41,2012 Honda Accord,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,155000, grey, full-size, clean, automatic, sedan,7500.00,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord/6708603548.html
42,2008 Honda Accord EX fully loaded,Honda,Accord,2008, excellent, 6 cylinders, fwd, gas,208000, grey, compact, clean, automatic,,6500.00,,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-accord-ex-fully/6699135122.html
43,Honda Accord 2012**cash only,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,94000, silver,, clean, automatic, coupe,11000.00,,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2012cash-only/6708592352.html
44,2013 Honda Accord for SALE!,Honda,Accord,2013, like new, 4 cylinders, fwd, gas,52000, green, full-size, clean, automatic, sedan,14500.00,,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-accord-for-sale/6708499980.html
45,2008 honda accord,Honda,Accord,2008, good, 4 cylinders, fwd, gas,120, silver,, salvage, automatic, sedan,5500.00,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6708453668.html
46,2008 Honda Accord,Honda,Accord,2008, good, 4 cylinders, fwd, gas,144000, white, full-size, salvage, automatic, sedan,5400.00,,https://losangeles.craigslist.org/wst/cto/d/2008-honda-accord/6682677984.html
47,2014 HONDA ACCORD LX SEDAN,Honda,Accord,2014, like new, 4 cylinders, fwd, gas,54475, black, compact, clean, automatic, sedan,12900.00, 1HGCR2F37EA253027,https://losangeles.craigslist.org/sfv/cto/d/2014-honda-accord-lx-sedan/6692479648.html
48,2014 HONDA ACCORD LX SEDAN,Honda,Accord,2014, like new, 4 cylinders, fwd, gas,54475, black, compact, salvage, automatic, sedan,12900.00, 1HGCR2F37EA253027,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord-lx-sedan/6692511588.html
49,2014 HONDA ACCORD LX SEDAN,Honda,Accord,2014, like new, 4 cylinders, fwd, gas,54475, black, compact, clean, automatic, sedan,12900.00, 1HGCR2F37EA253027,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-lx-sedan/6692518958.html
50,2014 HONDA ACCORD LX SEDAN 4D,Honda,Accord,2014, like new, 4 cylinders, fwd, gas,54475, black, compact, clean, automatic, sedan,12900.00, 1HGCR2F37EA253027,https://losangeles.craigslist.org/wst/cto/d/2014-honda-accord-lx-sedan-4d/6686681959.html
51,* * 2008 HONDA ACCORD EX-L * * NAVIGATION * BLUETOOTH * CLEAN TITLE,Honda,Accord,2008, good, 4 cylinders,, gas,161077, black,, clean, automatic, sedan,5995.00,,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-accord-ex/6705359460.html
52,2008 Honda accord,Honda,Accord,2008, like new, 6 cylinders,, gas,158358, black,, clean, automatic,,7999.00, 1HGCP36828A023763,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6708222233.html
53,2014 honda accord ex,Honda,Accord,2014, excellent, 4 cylinders, fwd, gas,119000, black, mid-size, clean, automatic,,9999.00,,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord-ex/6708242860.html
54,2012 Honda Accord EX Sport - Super Low Leather!!Miles - 4 Doors,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,73,,, salvage, automatic,,7490.00,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-ex-sport/6708224829.html
55,2009 Honda accord 4  door,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,158000, grey, full-size, clean, automatic, sedan,5300.00,,https://losangeles.craigslist.org/wst/cto/d/2009-honda-accord-4-door/6704199083.html
56,2011 Honda Accord,Honda,Accord,2011, excellent,,, gas,95000, blue,, salvage, automatic,,7000.00,,https://losangeles.craigslist.org/lgb/cto/d/2011-honda-accord/6696270634.html
57,Honda Accord 2015,Honda,Accord,2015, like new, 4 cylinders, fwd, gas,104700, silver, compact, clean, automatic, sedan,12900.00,,https://losangeles.craigslist.org/lac/cto/d/honda-accord-2015/6708101474.html
58,Vendo honda accord 2009,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,84323, white, compact, salvage, automatic, sedan,5600.00, Xxxxxxxxxxx,https://losangeles.craigslist.org/lac/cto/d/vendo-honda-accord-2009/6707960687.html
59,2009 HONDA ACCORD EXL,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,84245, white, compact, salvage, automatic, sedan,5600.00,,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-exl/6707894115.html
60,2008 honda accord,Honda,Accord,2008, excellent, 4 cylinders,, gas,148047, blue,, clean, automatic, sedan,6200.00,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6707710168.html
61,AUTO,Honda,Accord,2009, good, 4 cylinders, fwd, gas,101347, grey, compact, salvage, automatic, coupe,6000.00, IHGCS12889A018609,https://losangeles.craigslist.org/sfv/cto/d/auto/6682000922.html
62,2008 Honda Accord EX fully loaded,Honda,Accord,2008, excellent, 6 cylinders, fwd, gas,208000, grey, compact, clean, automatic,,6500.00,,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-accord-ex-fully/6707621497.html
63,2016 Honda Accord Sport,Honda,Accord,2016, excellent, 4 cylinders, fwd, gas,30351, silver, full-size, clean, automatic, sedan,20995.00, 1HGCR2F54GA055221,https://losangeles.craigslist.org/sgv/cto/d/2016-honda-accord-sport/6707584391.html
64,Salvage,Honda,Accord,2014, good, 4 cylinders, rwd, gas,61, grey, mid-size, salvage, automatic, sedan,10500.00,,https://losangeles.craigslist.org/sfv/cto/d/salvage/6707553220.html
65,Salvage,Honda,Accord,2014, good, 4 cylinders, rwd, gas,61, grey, mid-size, salvage, automatic, sedan,10500.00,,https://losangeles.craigslist.org/sfv/cto/d/salvage/6707552788.html
66,2017 Honda Accord Sport Sedan,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,9000, silver, mid-size, salvage, automatic, sedan,15500.00,,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-sport-sedan/6704607538.html
67,2015 Honda Accord Coupe,Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,39000, white, mid-size, clean, automatic, coupe,14500.00,,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-coupe/6707347069.html
68,2010 Honda Accord EX-L V6 (clean title),Honda,Accord,2010, excellent, 6 cylinders, fwd, gas,95500, black, full-size, clean, automatic, sedan,9700.00,,https://losangeles.craigslist.org/lac/cto/d/2010-honda-accord-ex-v6-clean/6687613844.html
69,2014 HONDA ACCORD SPORT(Clean Title 85k ML),Honda,Accord,2014, excellent, 4 cylinders, rwd, gas,85000, custom,, clean, automatic, sedan,13500.00,,https://losangeles.craigslist.org/sfv/cto/d/2014-honda-accord-sportclean/6704120404.html
70,17 Honda accord sport,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,21000, silver, full-size, clean, automatic, sedan,19500.00,,https://losangeles.craigslist.org/sgv/cto/d/17-honda-accord-sport/6706815242.html
71,2015 Honda Accord 30k not fake,Honda,Accord,2015, like new,,, gas,30600, black,, clean, automatic,,14000.00, 1HGCR2F30FA184196,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-accord-30k-not-fake/6699737245.html
72,2015 Honda Accord LX,Honda,Accord,2015, like new, 4 cylinders, fwd, gas,52200, black, full-size, clean, automatic, sedan,13300.00, 1HGCR2F38FA127812,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-lx/6704787760.html
73,2008 Honda Accord EXL,Honda,Accord,2008, good, 6 cylinders,, gas,109000, white,, clean, automatic,,5800.00,,https://losangeles.craigslist.org/wst/cto/d/2008-honda-accord-exl/6686175255.html
74,Honda Accord V6 2008,Honda,Accord,2008, excellent, 6 cylinders, fwd, gas,92000, white, mid-size, clean, automatic, sedan,5500.00,,https://losangeles.craigslist.org/lac/cto/d/honda-accord-v6-2008/6703456147.html
75,HONDA ACCORD LX 2009,Honda,Accord,2009, good, 4 cylinders, fwd, gas,140900, grey, mid-size, clean, automatic, sedan,5900.00,,https://losangeles.craigslist.org/wst/cto/d/honda-accord-lx-2009/6706721479.html
76,2015 Honda Accord SPORT 4dr Sedan,Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,43,,, clean, automatic, sedan,12300.00,,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-sport-4dr/6695572777.html
77,2010 Honda Accord Coupe EX-L V6 Fully Loaded,Honda,Accord,2010, excellent, 6 cylinders, fwd, gas,90000, black,, clean, automatic, coupe,14899.00, 1HGCS2B86AA003035,https://losangeles.craigslist.org/sfv/cto/d/2010-honda-accord-coupe-ex-v6/6706603787.html
78,2016 honda accord LX,Honda,Accord,2016, excellent, 4 cylinders, fwd, gas,4300, grey,, rebuilt, automatic,,14300.00,,https://losangeles.craigslist.org/lac/cto/d/2016-honda-accord-lx/6706493762.html
79,2015 Honda Accord EX Sedan 4D,Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,67787, white,, clean, automatic,,15999.00, 1HGCR2F75FA067328,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-ex-sedan-4d/6686106194.html
80,2015 Honda Accord EX Sedan 4D,Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,67787, white, mid-size, clean, automatic, sedan,15999.00, 1HGCR2F75FA067328,https://losangeles.craigslist.org/lgb/cto/d/2015-honda-accord-ex-sedan-4d/6697243649.html
81,2016 Honda Accord in good condition 51k miles,Honda,Accord,2016, like new, 4 cylinders,, gas,51000,,, salvage, automatic,,12500.00,,https://losangeles.craigslist.org/sfv/cto/d/2016-honda-accord-in-good/6697166725.html
82,2014 HONDA ACCORD,Honda,Accord,2014, excellent,,, gas,44000,,, salvage, automatic,,9300.00,,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord/6706285138.html
83,Honda,Honda,Accord,2012, good, 4 cylinders, fwd, gas,92000, grey,, clean, automatic, sedan,9000.00,,https://losangeles.craigslist.org/ant/cto/d/honda/6706190918.html
84,2012 Honda Accord EXL Fully Loaded,Honda,Accord,2012, excellent, 6 cylinders, fwd, gas,50000, black, compact, salvage, automatic, coupe,8200.00, 1HGCS2B82CA001446,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord-exl-fully/6706067156.html
85,2008 Honda Accord,Honda,Accord,2008, good, 4 cylinders, fwd, gas,140000,,, clean, automatic, sedan,5500.00,,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6705763945.html
86,Honda Accord EX,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,103000, silver, mid-size, clean, automatic, sedan,7500.00, 1HGCP36799A038057,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex/6705686822.html
87,2009 Honda  Accord Coupe,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,57739, silver, compact, clean, automatic, coupe,7200.00,,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-coupe/6705518979.html
88,2011 Honda Accord LX,Honda,Accord,2011, good, 4 cylinders, fwd, gas,197355, white, mid-size, clean, automatic, sedan,5500.00, 1HGCP2F38BA040802,https://losangeles.craigslist.org/wst/cto/d/2011-honda-accord-lx/6705297328.html
89,Honda accord coupe v6 6speed,Honda,Accord,2008, good, 6 cylinders,, gas,14000, black,, clean, manual,,12500.00,,https://losangeles.craigslist.org/lac/cto/d/honda-accord-coupe-v6-6speed/6687568275.html
90,"2015 HONDA ACCORD SPORT, MANUAL, LEATHER, 49K MILES",Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,49001, black, full-size, rebuilt, manual, sedan,10990.00, 1HGCR2E59FA040746,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-sport/6705035499.html
91,Clean 2012 Honda Accord Coupe,Honda,Accord,2012, like new, 4 cylinders, fwd, gas,90000, grey,, clean, automatic, coupe,9300.00,,https://losangeles.craigslist.org/sfv/cto/d/clean-2012-honda-accord-coupe/6704986651.html
92,Honda Accord 2011,Honda,Accord,2011, like new, 4 cylinders, fwd, gas,144000, grey, full-size, clean, automatic, sedan,7300.00,,https://losangeles.craigslist.org/lac/cto/d/honda-accord-2011/6704948057.html
93,2010 clean title Honda Accord,Honda,Accord,2010, good,,, gas,127000, black,, clean, automatic,,4500.00, 1hgcp2f34aa056185,https://losangeles.craigslist.org/lgb/cto/d/2010-clean-title-honda-accord/6704851152.html
